,FTR,HTGD,ATGD,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3
30,NH,1.0,1.5,1.75,2.25,D,W,W,W,W,W
31,NH,-0.75,-1.0,1.0,0.25,L,L,W,L,D,D
32,NH,0.25,0.25,1.0,1.0,L,W,D,L,W,D
33,H,-0.25,-1.0,0.75,0.0,W,L,L,L,L,L
34,NH,0.25,1.5,1.0,2.25,W,W,L,W,D,W
35,NH,-1.0,1.25,0.25,2.25,L,W,D,W,L,W
36,NH,-1.0,1.5,0.25,2.25,L,W,L,W,D,W
37,H,1.5,-1.0,2.25,0.0,W,L,W,L,W,L
38,NH,-0.5,-0.75,0.75,0.25,L,D,W,L,L,L
39,D,1.25,0.5,2.25,1.75,W,W,W,W,W,D
40,H,-0.4,0.6,0.8,1.2,L,L,W,W,L,L
41,D,-1.2,-0.6,0.2,0.8,L,W,L,L,D,L
42,D,0.4,0.2,1.4,1.2,L,D,D,D,W,W
43,NH,-0.8,0.0,0.8,1.2,L,W,L,W,W,L
44,D,0.4,-0.4,1.4,0.8,W,L,W,D,L,W
45,H,1.0,0.0,1.4,1.0,W,W,L,D,D,L
46,D,0.0,0.4,1.0,1.4,W,L,D,D,L,W
47,NH,1.4,1.6,2.4,2.4,W,W,W,W,W,W
48,NH,-0.6,1.0,0.8,1.4,W,W,L,L,L,D
49,D,-0.8,-0.6,0.2,0.8,L,W,D,L,L,L
50,D,-1.1666666666666667,-0.8333333333333334,0.0,0.6666666666666666,L,L,L,L,L,L
51,NH,-0.3333333333333333,-1.0,0.8333333333333334,0.3333333333333333,D,D,L,L,D,L
52,D,0.16666666666666666,0.8333333333333334,1.1666666666666667,1.8333333333333333,D,D,D,D,D,W
53,NH,0.5,0.3333333333333333,1.8333333333333333,1.3333333333333333,D,D,W,W,W,W
54,D,0.0,-0.16666666666666666,1.1666666666666667,1.1666666666666667,D,W,W,L,W,W
55,H,0.8333333333333334,-0.8333333333333334,1.5,0.5,W,L,L,L,W,L
