,FTR,HTGD,ATGD,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3
30,D,0.5,0.75,1.25,1.0,W,W,D,D,D,L
31,H,0.75,-0.25,1.5,1.5,L,W,W,L,W,W
32,H,2.0,-1.0,1.5,1.75,W,W,W,W,L,D
33,H,0.75,-1.0,1.75,0.0,D,L,W,L,W,L
34,D,-1.25,-0.5,0.25,0.25,L,L,D,L,L,D
35,D,0.25,0.75,1.0,1.5,L,L,W,W,D,W
36,H,-1.75,-1.25,0.0,0.25,L,D,L,L,L,L
37,D,-0.25,0.0,0.75,1.0,W,L,L,D,L,W
38,D,-0.75,0.5,0.75,1.25,L,W,L,D,W,D
39,D,0.25,1.5,1.25,2.25,W,W,D,W,D,W
40,D,0.0,-0.6,1.0,0.8,D,D,L,L,D,L
41,H,0.8,0.0,1.0,1.2,D,D,W,W,D,D
42,D,-1.0,0.4,0.2,1.2,L,D,D,W,L,D
43,H,0.4,-2.6,0.0,0.6,L,W,L,L,L,L
44,D,0.6,-1.0,1.4,0.4,D,D,L,L,W,D
45,NH,1.0,0.4,2.0,1.0,D,D,W,L,W,W
46,D,0.4,-0.2,1.2,0.8,D,D,W,W,D,L
47,D,-0.4,0.6,0.4,1.8,D,W,L,L,L,W
48,NH,-1.2,1.0,1.4,2.0,L,W,W,D,W,W
49,D,-0.2,1.6,1.2,1.8,L,W,W,W,L,W
50,H,0.5,0.16666666666666666,1.1666666666666667,0.5,D,W,D,L,W,L
51,H,1.0,-0.3333333333333333,2.1666666666666665,1.1666666666666667,W,D,W,L,D,W
52,NH,-1.1666666666666667,0.3333333333333333,0.5,1.0,D,D,D,D,L,L
53,NH,0.16666666666666666,0.5,1.3333333333333333,1.1666666666666667,W,D,D,D,L,W
54,H,1.0,-0.5,1.6666666666666667,0.5,L,D,D,D,W,L
55,H,-1.8333333333333333,-1.3333333333333333,0.5,1.1666666666666667,L,L,W,L,L,W
56,NH,-0.8333333333333334,1.0,0.8333333333333334,1.3333333333333333,D,W,D,D,L,W
57,H,0.16666666666666666,0.3333333333333333,1.0,1.3333333333333333,L,D,D,D,W,L
58,D,1.3333333333333333,0.5,1.6666666666666667,1.6666666666666667,D,D,W,W,W,L
59,NH,-0.3333333333333333,-0.6666666666666666,0.8333333333333334,0.3333333333333333,D,D,D,L,W,D
60,D,0.42857142857142855,0.8571428571428571,1.5714285714285714,2.2857142857142856,D,W,D,W,W,W
61,H,1.0,-0.42857142857142855,1.5714285714285714,0.7142857142857143,W,L,W,D,D,D
62,H,0.8571428571428571,-0.42857142857142855,1.2857142857142858,1.1428571428571428,W,L,D,W,D,D
63,D,0.14285714285714285,-1.0,0.42857142857142855,0.42857142857142855,L,L,W,D,L,D
64,H,0.5714285714285714,-1.0,1.1428571428571428,0.7142857142857143,L,L,D,D,D,D
65,H,-0.8571428571428571,0.14285714285714285,1.0,1.4285714285714286,L,W,L,D,L,D
66,H,-0.42857142857142855,0.0,0.7142857142857143,1.2857142857142858,W,W,D,L,L,D
67,NH,-0.5714285714285714,-1.2857142857142858,1.0,0.8571428571428571,L,W,D,L,L,W
68,H,0.8571428571428571,0.42857142857142855,1.4285714285714286,1.8571428571428572,W,W,D,L,D,D
69,D,-0.42857142857142855,1.1428571428571428,0.42857142857142855,1.5714285714285714,L,D,D,D,D,W
70,D,0.125,-0.375,1.25,0.5,L,D,W,L,D,D
71,NH,-1.0,-0.625,0.5,1.25,D,W,L,L,D,L
72,H,-0.25,0.75,1.0,1.75,L,W,L,W,W,W
73,H,0.5,0.625,1.625,1.5,L,W,W,W,L,D
74,D,-1.125,0.375,1.125,1.5,W,D,W,D,L,D
75,H,-0.25,0.375,0.625,1.375,L,W,L,L,D,D
76,NH,0.5,0.375,1.625,0.5,W,D,W,L,D,W
77,H,-0.75,-0.5,0.625,1.0,L,W,L,W,D,D
78,NH,-0.125,-0.375,1.125,0.875,L,L,W,L,L,D
79,D,0.75,1.0,2.125,1.5,D,D,W,D,W,D
80,H,-0.2222222222222222,-0.5555555555555556,1.4444444444444444,0.8888888888888888,W,W,W,L,L,L
81,H,0.4444444444444444,0.0,1.4444444444444444,1.2222222222222223,D,D,D,L,D,W
82,D,0.6666666666666666,0.4444444444444444,1.5555555555555556,1.7777777777777777,L,W,W,L,W,W
