,FTR,HTGD,ATGD,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3
27,H,0.5,-1.5,0.75,0.75,D,W,D,L,D,L
28,NH,-0.5,2.25,1.5,1.75,W,D,W,W,L,W
29,D,-0.25,0.5,0.75,1.75,L,D,L,W,W,W
30,NH,-1.75,1.75,0.0,1.75,L,D,L,W,L,W
31,H,-0.5,-0.75,0.5,0.5,D,D,D,L,L,D
32,NH,-1.25,2.5,0.25,2.25,L,W,D,W,L,W
33,D,-0.25,-0.75,0.5,0.75,D,W,L,L,D,L
34,H,0.0,0.0,0.5,1.5,D,L,L,W,D,W
35,H,0.5,-0.5,1.0,1.25,L,W,W,D,D,D
36,H,2.2,0.2,2.4,1.2,W,W,W,D,W,D
37,D,-0.6,-0.4,0.8,1.2,D,L,W,W,L,W
38,H,0.2,-0.6,1.2,1.0,L,W,L,D,W,D
39,D,1.4,-1.2,2.0,0.6,W,L,D,W,W,L
40,NH,-1.6,0.0,0.0,0.6,L,D,L,D,L,L
41,H,2.0,-0.2,2.0,1.0,W,W,D,D,W,L
42,D,-0.4,-1.0,1.0,0.2,L,L,W,L,D,D
43,NH,-1.0,0.2,0.4,0.8,L,D,D,L,L,L
44,D,0.4,0.4,1.6,1.4,D,W,D,L,W,W
45,H,0.16666666666666666,-0.8333333333333334,0.8333333333333334,0.8333333333333334,L,D,W,D,D,W
46,NH,-1.1666666666666667,2.0,0.6666666666666666,2.5,D,W,L,W,W,W
47,NH,-0.16666666666666666,0.0,1.0,1.0,L,D,W,L,D,W
48,H,-0.3333333333333333,1.5,0.8333333333333334,2.1666666666666665,L,W,W,W,D,D
49,H,0.5,-1.0,1.3333333333333333,0.3333333333333333,D,L,W,L,L,D
50,NH,-0.6666666666666666,-1.0,1.1666666666666667,0.0,D,L,L,L,W,L
51,H,0.3333333333333333,0.0,1.1666666666666667,1.5,W,W,D,L,L,L
52,D,-0.8333333333333334,0.3333333333333333,0.3333333333333333,1.5,D,D,L,D,L,D
53,NH,-0.16666666666666666,1.3333333333333333,1.0,1.8333333333333333,W,D,D,W,D,D
54,NH,-1.0,0.0,0.7142857142857143,1.1428571428571428,L,W,D,L,D,W
55,H,-0.7142857142857143,-0.8571428571428571,0.2857142857142857,0.42857142857142855,L,D,L,D,L,L
56,H,1.4285714285714286,1.4285714285714286,2.0,2.5714285714285716,W,W,D,W,W,W
57,D,-0.8571428571428571,0.14285714285714285,0.42857142857142855,1.1428571428571428,W,W,L,L,L,W
58,H,0.5714285714285714,-0.42857142857142855,1.4285714285714286,0.8571428571428571,D,L,D,L,D,W
59,H,1.4285714285714286,0.14285714285714285,1.8571428571428572,1.4285714285714286,L,W,W,W,W,D
60,H,0.14285714285714285,-1.1428571428571428,1.2857142857142858,0.5714285714285714,W,L,D,D,L,L
61,NH,-0.14285714285714285,0.5714285714285714,1.2857142857142858,1.5714285714285714,L,W,W,D,L,W
62,H,0.0,-0.7142857142857143,0.8571428571428571,1.0,L,L,W,D,D,L
63,H,1.5,-0.125,2.25,1.5,L,W,W,W,W,D
64,NH,-1.125,0.625,0.5,1.625,L,W,L,D,D,D
65,D,-0.375,-0.625,0.75,0.625,L,W,L,L,L,L
66,NH,0.375,1.375,1.75,2.0,W,W,W,L,D,W
67,D,0.125,-0.875,1.25,0.625,L,L,W,L,W,D
68,H,0.125,-0.875,1.375,0.5,W,D,W,W,L,L
69,H,-0.625,-0.25,0.375,1.125,L,L,D,L,D,W
70,D,0.125,0.0,1.125,1.125,D,W,W,L,L,W
71,NH,-1.0,1.625,0.875,2.125,L,W,L,W,D,D
72,H,-0.4444444444444444,0.0,0.6666666666666666,1.5555555555555556,D,L,L,W,L,W
73,NH,-0.6666666666666666,-0.8888888888888888,0.6666666666666666,0.4444444444444444,D,L,W,L,L,L
74,NH,-0.5555555555555556,0.0,1.0,0.7777777777777778,L,D,L,L,L,L
75,NH,1.3333333333333333,0.0,2.2222222222222223,1.3333333333333333,W,L,W,W,W,W
76,D,-0.8888888888888888,0.1111111111111111,0.7777777777777778,1.1111111111111112,L,D,L,D,L,W
77,H,-0.5555555555555556,-0.1111111111111111,0.4444444444444444,1.2222222222222223,L,D,D,L,W,W
78,D,0.5555555555555556,1.3333333333333333,1.7777777777777777,2.3333333333333335,W,W,W,L,D,W
79,D,0.0,0.1111111111111111,1.1111111111111112,1.5555555555555556,D,W,W,W,L,W
80,H,1.6666666666666667,-1.0,2.111111111111111,0.6666666666666666,W,W,W,L,L,D
81,H,1.6,-1.0,2.2,0.6,D,L,W,D,L,W
82,H,-0.5,-0.8,0.7,0.9,W,L,L,L,L,L
83,D,0.0,1.5,1.0,2.2,W,W,D,W,L,W
84,H,0.2,-0.7,1.4,0.7,L,W,L,L,W,D
85,H,0.4,-1.1,1.5,0.8,D,D,W,L,W,L
86,NH,-1.0,-0.3,0.6,0.9,L,W,W,D,L,L
87,D,0.0,0.5,1.5,1.7,W,D,L,W,W,W
88,D,0.1,1.2,1.1,2.0,D,L,D,W,D,W
89,D,-0.1,0.0,1.1,1.1,L,D,D,D,L,W
90,H,0.18181818181818182,0.2727272727272727,1.0909090909090908,1.6363636363636365,D,W,D,D,D,W
91,H,-0.8181818181818182,-0.09090909090909091,0.5454545454545454,1.4545454545454546,L,D,L,W,D,L
92,NH,-0.8181818181818182,1.5454545454545454,0.8181818181818182,2.272727272727273,L,W,L,D,L,W
93,H,1.1818181818181819,0.36363636363636365,1.9090909090909092,1.6363636363636365,D,D,L,D,W,W
94,D,-1.0,-0.09090909090909091,0.7272727272727273,1.0909090909090908,L,D,D,L,L,D
95,D,0.0,0.18181818181818182,1.0909090909090908,1.5454545454545454,D,W,D,L,D,L
96,H,1.6363636363636365,-0.7272727272727273,2.090909090909091,0.9090909090909091,D,W,W,W,W,L
97,H,0.0,-0.2727272727272727,1.0909090909090908,1.0,W,D,W,W,D,D
98,H,-0.36363636363636365,-1.1818181818181819,0.6363636363636364,0.5454545454545454,L,L,W,L,L,W
99,H,1.5833333333333333,1.3333333333333333,2.3333333333333335,2.1666666666666665,W,W,W,D,D,W
100,H,-0.4166666666666667,-0.25,0.8333333333333334,1.25,L,W,W,W,W,W
101,D,-0.25,-0.3333333333333333,0.9166666666666666,0.8333333333333334,L,W,D,L,W,W
102,H,0.4166666666666667,-1.1666666666666667,1.5,0.75,D,D,W,L,L,D
103,H,0.0,0.08333333333333333,1.0833333333333333,1.25,D,W,D,D,L,D
104,H,0.5833333333333334,-1.0,1.5,0.75,L,W,D,L,D,L
105,D,-0.08333333333333333,-0.75,1.3333333333333333,0.75,L,L,D,L,W,L
106,D,0.25,1.0833333333333333,1.5,2.0,L,W,W,D,D,L
107,NH,-1.1666666666666667,0.08333333333333333,0.5,1.0833333333333333,L,D,L,D,L,D
108,NH,-0.3076923076923077,1.5384615384615385,1.1538461538461537,2.3846153846153846,L,W,W,W,W,W
109,H,0.23076923076923078,0.23076923076923078,1.1538461538461537,1.6153846153846154,L,W,W,D,D,W
110,D,-0.6923076923076923,0.5384615384615384,0.7692307692307693,1.6153846153846154,D,W,L,L,L,D
111,NH,-1.2307692307692308,-0.9230769230769231,0.6923076923076923,0.46153846153846156,L,L,D,L,L,L
112,D,-0.3076923076923077,-0.38461538461538464,0.8461538461538461,1.0,D,W,W,L,L,W
113,D,0.23076923076923078,0.0,1.4615384615384615,1.2307692307692308,D,W,L,D,W,D
114,H,1.6153846153846154,-0.46153846153846156,2.0,1.3076923076923077,L,D,W,L,D,D
115,H,1.1538461538461537,-1.0769230769230769,1.9230769230769231,0.6923076923076923,D,L,W,W,D,L
116,D,0.07692307692307693,-0.23076923076923078,1.2307692307692308,0.9230769230769231,W,D,D,L,D,D
117,H,1.5,-0.35714285714285715,2.4285714285714284,0.8571428571428571,W,D,W,D,W,W
118,H,0.07142857142857142,-1.4285714285714286,0.9285714285714286,0.6428571428571429,D,L,D,L,L,D
119,NH,-0.07142857142857142,1.1428571428571428,1.2142857142857142,2.0,D,W,W,D,D,W
120,NH,-0.9285714285714286,0.2857142857142857,0.6428571428571429,1.2857142857142858,W,W,L,L,L,W
121,H,0.5714285714285714,1.4285714285714286,1.5714285714285714,2.0714285714285716,D,W,W,L,L,W
122,D,-0.42857142857142855,-0.2857142857142857,1.2142857142857142,1.0714285714285714,L,L,D,L,L,W
123,D,-0.35714285714285715,0.07142857142857142,1.0,1.2142857142857142,D,D,W,W,L,D
124,D,0.21428571428571427,0.21428571428571427,1.5,1.4285714285714286,L,D,W,D,D,L
125,NH,-0.2857142857142857,0.5714285714285714,1.0714285714285714,1.5714285714285714,L,D,L,W,W,L
126,NH,0.13333333333333333,0.2,1.4,1.0666666666666667,W,W,W,D,L,D
127,H,1.2,-0.7333333333333333,2.066666666666667,0.7333333333333333,W,L,W,D,D,D
128,NH,0.13333333333333333,-0.8,1.4,0.6,D,L,D,W,D,L
129,D,0.06666666666666667,1.4,1.2,2.466666666666667,D,W,D,W,W,W
130,H,1.4666666666666666,-1.0666666666666667,1.9333333333333333,0.6,L,L,W,L,L,L
131,NH,-0.13333333333333333,0.26666666666666666,1.1333333333333333,1.4666666666666666,L,D,D,L,W,W
132,H,-0.06666666666666667,-0.6666666666666666,0.8,1.2,L,D,D,L,D,D
133,D,-1.0666666666666667,-0.7333333333333333,0.6,0.7333333333333333,L,L,L,D,L,D
134,D,-1.0666666666666667,-0.3333333333333333,0.6,1.0666666666666667,L,D,L,L,L,L
135,H,-0.125,0.0,1.125,1.3125,W,L,D,W,D,W
136,H,1.1875,0.1875,2.125,1.5625,W,W,W,D,W,L
137,D,0.1875,0.125,1.1875,1.3125,W,L,W,D,D,D
138,D,-0.75,-0.125,0.75,1.0625,W,L,L,L,W,D
139,H,0.625,-0.125,1.75,0.9375,W,W,W,L,D,D
140,NH,-0.6875,0.125,1.125,1.1875,L,D,D,D,L,D
141,H,1.375,-1.375,2.375,0.5625,D,L,W,L,W,L
142,NH,-0.875,1.5625,0.75,2.0,D,W,L,L,D,W
143,NH,-1.375,-0.125,0.5625,1.125,L,W,L,D,L,D
144,H,-0.23529411764705882,-0.8823529411764706,1.0,0.7058823529411765,D,L,L,D,D,L
145,NH,-0.058823529411764705,1.3529411764705883,1.2352941176470589,2.411764705882353,L,W,L,D,W,W
146,H,-1.2352941176470589,-0.7058823529411765,0.5294117647058824,1.0588235294117647,L,L,L,L,L,D
