,FTR,HTGD,ATGD,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3
30,D,-0.25,-0.5,0.5,0.75,L,L,D,L,D,W
31,NH,0.5,1.25,1.5,1.5,W,W,W,L,L,W
32,H,-1.5,-0.25,0.0,0.5,L,D,L,D,L,L
33,NH,-1.0,0.75,0.25,1.75,L,W,D,D,L,W
34,D,-0.25,0.5,0.5,1.75,D,D,D,W,L,W
35,H,0.25,0.75,1.0,1.75,L,W,W,D,D,W
36,H,0.5,-1.5,1.75,0.0,W,L,W,L,D,L
37,H,0.5,0.0,1.0,1.0,D,W,L,L,W,D
38,NH,-1.5,0.25,0.0,1.5,L,W,L,W,L,L
39,NH,0.0,1.5,1.5,2.25,L,W,W,W,W,W
40,NH,-0.6,1.4,0.8,2.4,L,W,W,W,L,W
41,H,-1.4,-0.2,0.0,1.2,L,L,L,L,L,W
42,D,-0.6,1.0,0.4,1.4,L,W,D,D,D,L
43,H,-0.8,-1.2,0.6,0.2,W,L,L,L,L,D
44,H,1.2,1.0,1.8,2.0,W,W,W,W,L,D
45,H,0.2,0.6,1.4,2.0,L,W,W,W,D,W
46,H,0.4,-0.2,1.6,0.6,D,D,D,L,W,D
47,NH,0.6,0.2,1.8,1.2,W,L,W,W,W,W
48,H,-0.4,-0.2,0.8,0.6,D,D,L,D,L,D
49,NH,-1.6,0.6,0.0,1.4,L,W,L,L,L,W
50,D,0.3333333333333333,-1.6666666666666667,1.5,0.0,W,L,L,L,W,L
51,H,-0.5,0.5,1.0,1.6666666666666667,L,W,L,L,L,W
52,H,-0.5,-0.6666666666666666,0.5,0.6666666666666666,L,L,D,L,L,W
53,H,0.6666666666666666,0.6666666666666666,1.6666666666666667,1.8333333333333333,L,W,W,D,W,D
54,H,1.3333333333333333,1.1666666666666667,2.5,2.0,W,W,W,W,W,W
55,H,-1.1666666666666667,-0.5,0.16666666666666666,0.5,L,D,L,L,L,D
56,NH,-0.5,0.3333333333333333,0.5,1.5,L,L,D,W,D,W
57,H,0.8333333333333334,-0.8333333333333334,1.6666666666666667,0.5,W,W,W,L,L,L
58,D,0.16666666666666666,-0.5,1.6666666666666667,1.0,L,W,W,W,W,L
59,NH,0.8333333333333334,0.0,1.3333333333333333,1.1666666666666667,D,W,W,D,D,L
60,H,1.4285714285714286,-0.8571428571428571,2.5714285714285716,0.42857142857142855,W,L,W,L,W,D
61,NH,0.14285714285714285,0.0,1.4285714285714286,1.2857142857142858,W,W,W,L,D,L
62,H,-0.14285714285714285,0.7142857142857143,0.8571428571428571,1.7142857142857142,W,W,L,L,D,W
63,NH,-0.8571428571428571,0.8571428571428571,0.42857142857142855,1.8571428571428572,L,W,D,W,L,W
64,H,-0.42857142857142855,0.5714285714285714,1.0,1.1428571428571428,D,L,W,D,W,W
65,H,0.7142857142857143,0.42857142857142855,1.7142857142857142,1.5714285714285714,L,L,W,W,W,D
66,H,0.0,0.7142857142857143,1.4285714285714286,1.8571428571428572,L,W,W,L,L,W
67,D,0.14285714285714285,0.2857142857142857,1.5714285714285714,1.4285714285714286,D,D,L,W,W,L
68,D,-0.8571428571428571,-1.4285714285714286,0.5714285714285714,0.14285714285714285,L,D,L,L,L,L
69,H,-0.8571428571428571,-0.5714285714285714,0.42857142857142855,0.5714285714285714,L,W,W,L,L,L
70,H,0.5,-0.75,1.625,0.625,L,D,W,L,L,L
71,D,-0.875,0.0,0.375,1.125,L,W,L,W,L,L
72,H,0.25,-1.0,1.375,0.375,D,L,D,L,W,D
73,NH,-0.75,1.375,0.5,2.625,L,W,W,W,L,W
74,H,-0.25,-0.5,1.375,0.75,L,W,L,L,W,W
75,H,1.0,0.125,2.0,1.5,W,D,W,D,W,L
76,D,0.375,0.125,1.0,1.625,L,W,L,L,D,W
77,D,0.5,0.0,1.5,1.25,L,L,W,W,L,W
78,NH,-1.25,-0.25,0.25,1.25,D,W,D,D,L,W
79,NH,0.125,1.25,1.5,1.875,W,W,W,L,L,W
80,D,0.0,0.0,1.1111111111111112,1.3333333333333333,D,L,W,W,W,W
81,D,-1.0,-0.1111111111111111,0.3333333333333333,1.5555555555555556,L,W,L,L,L,L
82,NH,-0.1111111111111111,1.0,1.4444444444444444,2.111111111111111,W,W,W,W,D,W
83,NH,1.2222222222222223,0.3333333333333333,2.0,1.0,W,D,W,L,L,L
84,H,1.5555555555555556,0.4444444444444444,2.6666666666666665,1.4444444444444444,W,D,W,L,W,W
85,D,0.1111111111111111,0.3333333333333333,1.5555555555555556,1.5555555555555556,D,W,W,D,L,D
86,H,0.0,-1.0,1.3333333333333333,0.4444444444444444,L,L,D,L,D,W
87,D,-1.0,-0.7777777777777778,0.5555555555555556,0.4444444444444444,L,D,D,L,L,L
88,NH,-0.5555555555555556,-1.2222222222222223,0.6666666666666666,0.2222222222222222,L,L,W,D,L,D
89,NH,0.0,0.7777777777777778,1.2222222222222223,1.7777777777777777,D,W,L,L,W,W
90,H,1.1,1.6,2.2,2.7,W,W,W,W,W,W
91,D,0.2,1.0,1.3,1.8,L,L,D,W,L,W
92,D,0.3,-0.3,1.5,1.3,D,L,W,W,D,W
93,H,0.9,-0.9,1.9,0.4,W,D,W,L,L,L
94,NH,-1.2,-0.7,0.4,0.5,L,D,L,D,L,L
95,H,-0.1,-0.9,1.5,0.6,D,D,W,L,L,D
96,H,-0.6,0.1,0.6,1.5,L,D,L,D,W,W
97,H,0.4,0.0,1.2,1.1,W,D,D,D,L,W
98,NH,-1.0,-0.2,0.5,1.1,W,L,L,D,D,L
99,D,0.0,0.3,1.3,1.5,D,W,L,L,W,D
100,H,-0.2727272727272727,-0.45454545454545453,1.2727272727272727,0.8181818181818182,D,W,L,L,W,L
101,D,0.0,0.9090909090909091,1.3636363636363635,1.7272727272727273,L,D,D,L,D,W
102,NH,-0.09090909090909091,0.9090909090909091,1.0,2.0,L,W,D,W,D,W
103,D,-0.9090909090909091,-1.0,0.36363636363636365,0.45454545454545453,L,L,D,W,L,L
104,H,1.2727272727272727,0.09090909090909091,2.4545454545454546,1.6363636363636365,L,W,W,D,W,W
105,NH,-0.45454545454545453,0.45454545454545453,0.7272727272727273,1.3636363636363635,W,W,D,W,D,D
106,H,1.1818181818181819,0.0,2.272727272727273,1.2727272727272727,W,D,W,D,W,L
107,NH,0.2727272727272727,0.18181818181818182,1.4545454545454546,1.2727272727272727,D,D,W,L,L,D
108,H,-1.0,-1.2727272727272727,0.5454545454545454,0.36363636363636365,L,L,D,L,L,L
109,NH,-0.09090909090909091,0.2727272727272727,1.2727272727272727,1.4545454545454546,W,D,L,D,D,W
110,NH,0.5833333333333334,1.4166666666666667,1.5,2.5,W,W,W,L,W,W
111,H,-0.3333333333333333,-0.5833333333333334,1.1666666666666667,0.6666666666666666,L,L,D,W,D,D
112,D,0.3333333333333333,-0.25,1.5833333333333333,0.9166666666666666,W,L,D,L,D,D
113,H,1.0,1.4166666666666667,2.0833333333333335,2.3333333333333335,W,W,W,W,W,W
114,H,0.8333333333333334,-0.75,1.6666666666666667,0.75,D,W,D,L,L,D
115,H,-1.3333333333333333,-0.16666666666666666,0.3333333333333333,1.1666666666666667,L,L,L,W,L,L
116,H,-0.16666666666666666,0.0,1.5,1.4166666666666667,L,W,W,D,D,L
117,H,-0.6666666666666666,-0.8333333333333334,0.75,0.4166666666666667,L,D,W,L,L,D
118,H,0.3333333333333333,0.0,1.4166666666666667,1.3333333333333333,W,D,D,L,L,D
119,D,-0.9166666666666666,0.08333333333333333,0.5,1.3333333333333333,D,L,L,D,W,W
120,D,0.0,0.3076923076923077,1.6153846153846154,1.5384615384615385,W,D,L,W,W,D
121,H,1.1538461538461537,-1.0,2.1538461538461537,0.5384615384615384,L,W,W,L,W,L
122,D,-0.23076923076923078,0.07692307692307693,0.9230769230769231,1.3076923076923077,D,D,L,L,L,D
