,FTR,HTGD,ATGD,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3
30,D,0.25,0.25,1.0,1.25,L,D,W,D,D,W
31,D,0.75,0.0,1.75,0.75,W,W,D,L,W,L
32,D,0.5,0.0,1.75,1.0,D,D,W,W,W,L
33,D,-0.5,-0.5,0.75,0.25,W,L,L,L,L,D
34,H,-0.25,0.0,0.75,1.5,W,W,L,W,L,L
35,D,0.0,0.0,1.0,1.0,L,D,D,W,W,L
36,H,-1.25,0.0,0.75,1.0,L,W,W,L,L,D
37,NH,-0.25,0.5,0.5,1.5,D,L,D,W,L,W
38,H,0.0,0.25,0.75,1.5,D,W,D,L,D,W
39,H,-0.25,0.5,0.75,1.0,L,L,L,D,W,W
40,NH,-0.2,0.6,0.8,1.6,L,D,W,W,L,D
41,NH,0.0,0.2,1.0,1.0,D,D,D,L,W,W
42,NH,-0.2,-0.4,1.2,0.4,L,L,W,D,W,D
43,H,0.2,-0.8,1.2,1.2,D,W,D,L,D,W
44,D,0.4,0.4,1.2,1.6,W,D,D,D,D,W
45,NH,-0.4,0.2,0.4,1.2,D,W,L,L,L,L
46,D,0.0,0.0,0.8,1.2,L,W,L,W,D,L
47,H,0.6,0.0,1.8,1.0,W,D,L,L,W,D
48,NH,0.0,-0.4,0.8,0.8,D,D,W,W,L,L
49,H,-0.2,0.0,1.2,1.0,L,D,W,D,L,W
50,D,0.6666666666666666,0.3333333333333333,1.3333333333333333,1.1666666666666667,W,D,D,W,L,D
51,H,0.6666666666666666,0.3333333333333333,1.8333333333333333,1.5,W,W,D,D,W,D
52,D,-0.3333333333333333,0.6666666666666666,0.8333333333333334,2.0,L,W,D,W,D,L
53,NH,0.3333333333333333,0.16666666666666666,1.5,1.5,D,W,D,L,D,W
54,NH,0.16666666666666666,-0.3333333333333333,1.1666666666666667,0.6666666666666666,W,L,D,L,W,W
55,H,0.6666666666666666,-0.5,1.5,0.6666666666666666,W,L,W,D,L,W
56,NH,0.0,-0.8333333333333334,1.1666666666666667,0.3333333333333333,D,L,W,D,W,L
57,D,-0.16666666666666666,-0.3333333333333333,0.8333333333333334,1.0,L,L,D,L,L,W
58,D,-0.8333333333333334,-0.5,1.0,0.8333333333333334,L,L,W,D,L,D
59,H,-0.16666666666666666,0.0,0.8333333333333334,0.8333333333333334,W,D,L,L,D,L
60,D,-0.5714285714285714,0.14285714285714285,0.7142857142857143,1.1428571428571428,W,W,L,W,D,L
61,NH,0.0,1.1428571428571428,1.0,1.7142857142857142,W,W,L,W,L,W
62,D,0.14285714285714285,0.5714285714285714,1.2857142857142858,1.2857142857142858,L,D,D,W,D,D
63,NH,-0.2857142857142857,-0.14285714285714285,0.7142857142857143,0.8571428571428571,L,D,D,L,L,D
64,H,-0.42857142857142855,0.7142857142857143,0.8571428571428571,2.0,D,W,L,W,D,D
65,NH,-0.2857142857142857,-0.2857142857142857,1.0,0.8571428571428571,D,D,L,L,L,D
66,D,-1.0,-0.14285714285714285,0.5714285714285714,1.0,L,L,L,D,D,W
67,H,0.2857142857142857,0.5714285714285714,1.7142857142857142,1.8571428571428572,W,D,W,W,L,W
68,H,0.14285714285714285,-0.14285714285714285,1.2857142857142858,1.0,L,L,W,W,D,D
69,NH,0.2857142857142857,-0.7142857142857143,1.1428571428571428,1.0,D,D,D,L,W,W
70,H,0.5,0.5,1.25,1.875,D,W,D,W,W,W
71,H,0.0,-0.5,1.125,0.75,W,D,D,W,L,L
72,H,0.0,-0.375,1.125,0.625,W,L,D,L,L,D
73,H,0.25,-0.5,1.625,0.875,L,L,D,D,W,L
74,H,0.5,0.125,1.75,1.0,L,L,W,D,W,D
75,H,-0.25,-0.25,0.875,1.125,L,W,L,D,W,L
76,NH,1.375,0.25,1.875,1.5,W,W,W,L,W,W
77,NH,-0.125,-0.375,1.0,0.875,D,L,L,W,D,L
78,H,-0.5,0.125,1.25,1.25,W,D,D,L,L,D
79,H,0.125,-0.875,1.125,0.625,D,D,W,L,W,L
80,H,0.7777777777777778,0.3333333333333333,1.4444444444444444,1.1111111111111112,W,W,D,L,D,L
81,NH,-0.7777777777777778,0.4444444444444444,1.0,1.3333333333333333,L,W,W,D,D,W
82,H,-0.1111111111111111,1.1111111111111112,1.1111111111111112,1.6666666666666667,L,L,D,W,L,W
83,H,-1.1111111111111112,0.3333333333333333,0.5555555555555556,1.7777777777777777,L,W,D,L,L,D
84,H,0.1111111111111111,-0.4444444444444444,1.6666666666666667,0.5555555555555556,L,L,W,L,W,L
85,D,-0.6666666666666666,-0.5555555555555556,0.6666666666666666,0.7777777777777778,L,L,D,L,W,D
